,Date,Open,High,Low,Close,Volume,Name,YearMonth
1402,2009-11-05,122.12,123.5,122.0,123.1,6703852.0,IBM,2009-11
1403,2009-11-06,122.51,123.49,122.23,123.49,4979517.0,IBM,2009-11
1404,2009-11-07,122.51,123.49,122.23,123.49,0.0,IBM,2009-11
1405,2009-11-08,122.51,123.49,122.23,123.49,0.0,IBM,2009-11
1406,2009-11-09,123.92,126.0,123.49,126.0,7767199.0,IBM,2009-11
1407,2009-11-10,125.3,127.05,125.17,126.91,6444507.0,IBM,2009-11
1408,2009-11-11,126.55,127.3,125.94,127.19,6531368.0,IBM,2009-11
1409,2009-11-12,126.61,127.65,126.11,126.26,5345379.0,IBM,2009-11
1410,2009-11-13,126.41,127.8,126.27,127.03,4986825.0,IBM,2009-11
1411,2009-11-14,126.41,127.8,126.27,127.03,0.0,IBM,2009-11
1412,2009-11-15,126.41,127.8,126.27,127.03,0.0,IBM,2009-11
1413,2009-11-16,127.17,128.24,127.03,128.21,7975416.0,IBM,2009-11
1414,2009-11-17,127.43,128.66,127.4,128.63,7910332.0,IBM,2009-11
1415,2009-11-18,128.05,128.35,127.55,128.15,3970158.0,IBM,2009-11
1416,2009-11-19,127.28,127.84,126.51,127.54,5309025.0,IBM,2009-11
1417,2009-11-20,127.17,127.69,126.46,126.96,5354701.0,IBM,2009-11
1418,2009-11-21,127.17,127.69,126.46,126.96,0.0,IBM,2009-11
1419,2009-11-22,127.17,127.69,126.46,126.96,0.0,IBM,2009-11
1420,2009-11-23,127.7,128.94,127.65,128.2,7003414.0,IBM,2009-11
1421,2009-11-24,127.9,128.32,127.14,127.93,4822106.0,IBM,2009-11
1422,2009-11-25,127.88,128.22,127.08,127.28,3970966.0,IBM,2009-11
1423,2009-11-26,127.88,128.22,127.08,127.28,0.0,IBM,2009-11
1424,2009-11-27,124.59,126.62,124.26,125.7,3319189.0,IBM,2009-11
1425,2009-11-28,124.59,126.62,124.26,125.7,0.0,IBM,2009-11
1426,2009-11-29,124.59,126.62,124.26,125.7,0.0,IBM,2009-11
1427,2009-11-30,125.12,126.6,124.92,126.35,6302942.0,IBM,2009-11
1428,2009-12-01,127.29,128.39,126.85,127.94,6578504.0,IBM,2009-12
1429,2009-12-02,127.32,128.39,127.16,127.21,4599675.0,IBM,2009-12
1430,2009-12-03,127.6,128.47,127.25,127.55,5759913.0,IBM,2009-12
1431,2009-12-04,128.4,128.9,126.0,127.25,7068967.0,IBM,2009-12
1432,2009-12-05,128.4,128.9,126.0,127.25,0.0,IBM,2009-12
1433,2009-12-06,128.4,128.9,126.0,127.25,0.0,IBM,2009-12
1434,2009-12-07,126.88,127.53,126.59,127.04,4144680.0,IBM,2009-12
1435,2009-12-08,126.97,127.35,126.16,126.8,5351458.0,IBM,2009-12
1436,2009-12-09,126.7,128.39,126.11,128.39,6071919.0,IBM,2009-12
1437,2009-12-10,128.13,129.47,128.09,129.34,7077907.0,IBM,2009-12
1438,2009-12-11,129.01,129.77,128.71,129.68,6599285.0,IBM,2009-12
1439,2009-12-12,129.01,129.77,128.71,129.68,0.0,IBM,2009-12
1440,2009-12-13,129.01,129.77,128.71,129.68,0.0,IBM,2009-12
1441,2009-12-14,129.65,129.98,129.6,129.93,5202187.0,IBM,2009-12
1442,2009-12-15,129.46,129.86,127.94,128.49,8033372.0,IBM,2009-12
1443,2009-12-16,128.74,129.6,128.35,128.71,6372736.0,IBM,2009-12
1444,2009-12-17,128.0,128.56,127.12,127.4,5910454.0,IBM,2009-12
1445,2009-12-18,127.97,128.39,127.0,127.91,9106601.0,IBM,2009-12
1446,2009-12-19,127.97,128.39,127.0,127.91,0.0,IBM,2009-12
1447,2009-12-20,127.97,128.39,127.0,127.91,0.0,IBM,2009-12
1448,2009-12-21,127.8,128.94,127.68,128.65,4775164.0,IBM,2009-12
1449,2009-12-22,129.3,129.98,129.19,129.93,5535651.0,IBM,2009-12
1450,2009-12-23,129.7,130.0,129.3,130.0,4129112.0,IBM,2009-12
1451,2009-12-24,129.89,130.57,129.48,130.57,4265079.0,IBM,2009-12
1452,2009-12-25,129.89,130.57,129.48,130.57,0.0,IBM,2009-12
1453,2009-12-26,129.89,130.57,129.48,130.57,0.0,IBM,2009-12
1454,2009-12-27,129.89,130.57,129.48,130.57,0.0,IBM,2009-12
1455,2009-12-28,130.99,132.31,130.72,132.31,5801087.0,IBM,2009-12
1456,2009-12-29,132.28,132.37,131.8,131.85,4184782.0,IBM,2009-12
1457,2009-12-30,131.23,132.68,130.68,132.57,3867291.0,IBM,2009-12
1458,2009-12-31,132.41,132.85,130.75,130.9,4225128.0,IBM,2009-12
1459,2010-01-01,132.41,132.85,130.75,130.9,0.0,IBM,2010-01
1460,2010-01-02,132.41,132.85,130.75,130.9,0.0,IBM,2010-01
1461,2010-01-03,132.41,132.85,130.75,130.9,0.0,IBM,2010-01
1462,2010-01-04,131.18,132.97,130.85,132.45,6155846.0,IBM,2010-01
1463,2010-01-05,131.68,131.85,130.1,130.85,6842471.0,IBM,2010-01
1464,2010-01-06,130.68,131.49,129.81,130.0,5605290.0,IBM,2010-01
1465,2010-01-07,129.87,130.25,128.91,129.55,5840569.0,IBM,2010-01
1466,2010-01-08,129.07,130.92,129.05,130.85,4197105.0,IBM,2010-01
1467,2010-01-09,129.07,130.92,129.05,130.85,0.0,IBM,2010-01
1468,2010-01-10,129.07,130.92,129.05,130.85,0.0,IBM,2010-01
1469,2010-01-11,131.06,131.06,128.67,129.48,5731177.0,IBM,2010-01
1470,2010-01-12,129.03,131.33,129.0,130.51,8083354.0,IBM,2010-01
1471,2010-01-13,130.39,131.12,129.16,130.23,6458302.0,IBM,2010-01
1472,2010-01-14,130.55,132.71,129.91,132.31,7114544.0,IBM,2010-01
1473,2010-01-15,132.03,132.89,131.09,131.78,8502320.0,IBM,2010-01
1474,2010-01-16,132.03,132.89,131.09,131.78,0.0,IBM,2010-01
1475,2010-01-17,132.03,132.89,131.09,131.78,0.0,IBM,2010-01
1476,2010-01-18,132.03,132.89,131.09,131.78,0.0,IBM,2010-01
1477,2010-01-19,131.63,134.25,131.56,134.14,13916168.0,IBM,2010-01
1478,2010-01-20,130.46,131.15,128.95,130.25,15201857.0,IBM,2010-01
1479,2010-01-21,130.47,130.69,128.06,129.0,9608696.0,IBM,2010-01
1480,2010-01-22,128.67,128.89,125.37,125.5,10089325.0,IBM,2010-01
